ticker;score_sector;score_general;score_final;sector;p_l;p_vp;dividend_yield;crescimento_lucro;roe;payout_ratio;number_code;outlier
GGPS3;0,15023549553258975;0,26779758242367446;0,2207727476672406;Industrials;12,94153;3,048517;1,48;4,8;21,248;0,22389999;3;False
OPCT3;0,14345788722724884;0,2628004756830571;0,2150634403007338;Industrials;13,022727;1,2807331;;;3,2309997999999998;;3;False
MGLU3;0,1894683635269021;0,1894683635269021;0,1894683635269021;Consumer Cyclical;14,214286;0,52950174;;;3,5550002;;3;False
FRAS3;0,1838357022545858;0,1838357022545858;0,1838357022545858;Consumer Cyclical;14,30581;3,051533;2,34;-16,7;16,589001;0,3967;3;False
TTEN3;0,025518407352217887;0,28844341168183574;0,18327340994998859;Basic Materials;12,60606;2,114627;0,70999996;45,9;22,424;0,074099995;3;False
NTCO3;0,09343139215785357;0,22954384010479445;0,1750988609260181;Consumer Defensive;13,5631075;1,2462088;5,47;;-14,610000000000001;;3;False
B3SA3;0,0;0,2815538577784661;0,16893231466707964;Financial Services;12,718007;3,2628908;2,5700000000000003;15,7;21,895999999999997;0,5157;3;False
CSNA3;0,0062470993898560145;0,2753258910945954;0,1676943744126996;Basic Materials;12,819204;0,8686629;14,499999999999998;;-3,408;95,3245;3;False
UNIP6;0,0;0,2710736392486377;0,1626441835491826;Basic Materials;12,888298;1,9918615;8,229999000000001;-35,0;15,143999999999998;0,48950002;6;False
RAIL3;0,061738863994819204;0,20254932757382782;0,14622514214222437;Industrials;14,001736;2,391949;0,47000000000000003;42,1;-4,398;0,120699994;3;False
ASAI3;0,0;0,1618749453190469;0,09712496719142813;Consumer Defensive;14,662646;2,106118;1,24;-15,6;13,648;;3;False
VLID3;0,0;0,15702948052343835;0,094217688314063;Industrials;14,741379;1,2128806;7,13;49,0;22,668;0,3775;3;False
CPLE6;0,046014570959503676;0,1227421536001938;0,09205112054391776;Utilities;15,298507;1,1992512;2,08;169,0;9,604;0,2604;6;False
AALR3;0,0;0,14111316905423132;0,08466790143253879;Healthcare;15,0;1,0816936;;;-13,911999999999999;;3;False
ENEV3;0,01188376506968336;0,09386802562138352;0,06107432140070346;Utilities;15,767677;1,2901189;;;7,9959996;;3;False
CPLE3;0,0;0,08381454623388107;0,050288727740328644;Utilities;15,931034;1,081081;2,1;169,0;9,604;0,2367;3;False
BRST3;0,0;0,04339513661634531;0,026037081969807186;Communication Services;16,587801;2,8482144;;-46,5;;;3;False
CPLE5;0,0;0,0;0,0;Utilities;;1,3384813;2,76;169,0;9,604;0,3818;5;False
LAND3;0,0;0,0;0,0;Consumer Defensive;;1,9888918;0,58999998;-7,7;3,718;0,3132;3;False
COCE5;0,0;0,0;0,0;Utilities;;0,38742936;3,9100002000000003;-50,7;6,2700000000000005;0,2561;5;False
MNPR3;0,0;0,0;0,0;Consumer Defensive;;;;59,099999999999994;;;3;False
GPAR3;0,0;0,0;0,0;Utilities;;2,3836184;;-66,0;5,5409998;;3;False
EMAE4;0,0;0,0;0,0;Utilities;;1,3490075;8,189999;-8,3;12,503;0,72150004;4;False
CEBR5;0,0;0,0;0,0;Utilities;;1,1327837;9,34;13,900000000000002;16,899;0,8077;5;False
CEBR3;0,0;0,0;0,0;Utilities;;1,1448488;9,2;13,900000000000002;16,899;0,8077;3;False
ENGI4;0,0;0,0;0,0;Utilities;;1,0561893;5,48;-0,2;18,35;0,3728;4;False
AFLT3;0,0;0,0;0,0;Utilities;;1,7027785;4,9099997;-47,699999999999996;8,877;0,6639;3;False
BIED3;0,0;0,0;0,0;Consumer Defensive;;0,7271543;;;0,132;;3;False
REDE3;0,0;0,0;0,0;Utilities;;3,323061;12,550001;-36,4;36,231998;0,9008;3;False
ISAE3;0,0;0,0;0,0;Utilities;;1,064569;7,4399999999999995;135,60000000000002;17,389;0,439;3;False
CEBR6;0,0;0,0;0,0;Utilities;;1,1730009;9,729999;13,900000000000002;16,899;0,88839996;6;False
EQPA3;0,0;0,0;0,0;Utilities;;2,652091;13,74;;44,54;0,8094;3;False
MNDL3;0,0;0,0;0,0;Consumer Defensive;;1,2008595;;;1,1089999;;3;False
MTSA4;0,0;0,0;0,0;Industrials;;0,8190091;5,7700000000000005;-31,2;10,168000000000001;0,3111;4;False
RPMG3;0,0;0,0;0,0;Energy;;;;;;;3;False
